
------------------------------------------------------------------------------------------------------------------------------------
All maxima | (Original FOM, Second FOM)
Max no. 0 | (1.3409e-04, 7.7467e-04)
Max no. 1 | (1.3343e-04, 6.8544e-04)
Max no. 2 | (1.2262e-04, 7.7490e-04)
Max no. 3 | (1.1725e-04, 6.3125e-04)
Max no. 4 | (1.1217e-04, 8.6293e-04)
Max no. 5 | (1.0530e-04, 9.1475e-04)
Max no. 6 | (1.0308e-04, 8.8665e-04)
Max no. 7 | (1.0077e-04, 6.2649e-04)
Max no. 8 | (1.0006e-04, 6.4446e-04)
Max no. 9 | (9.9849e-05, 8.9802e-04)
Max no. 10 | (9.9624e-05, 4.0894e-04)
Max no. 11 | (9.8459e-05, 6.4165e-04)
Max no. 12 | (9.8281e-05, 1.0095e-03)
Max no. 13 | (9.4730e-05, 1.0738e-03)
Max no. 14 | (9.4657e-05, 3.6080e-04)
Max no. 15 | (9.3434e-05, 6.0602e-04)
Max no. 16 | (9.3389e-05, 1.8268e-04)
Max no. 17 | (9.2157e-05, 8.4716e-04)
Max no. 18 | (8.7980e-05, 5.7365e-04)
Max no. 19 | (8.5316e-05, 4.6989e-04)
Max no. 20 | (8.3871e-05, 5.8057e-04)
Max no. 21 | (8.1125e-05, 6.6124e-04)
Max no. 22 | (7.5501e-05, 1.1244e-03)
Max no. 23 | (7.5474e-05, 2.2758e-04)
Max no. 24 | (7.2918e-05, 3.3179e-04)
Max no. 25 | (7.2587e-05, 3.8834e-04)
Max no. 26 | (6.7468e-05, 3.2457e-04)
Max no. 27 | (6.6958e-05, 1.5763e-03)
Max no. 28 | (6.6662e-05, 2.0999e-04)
Max no. 29 | (6.6203e-05, 1.2404e-03)
Max no. 30 | (6.5755e-05, 1.1383e-03)
Max no. 31 | (6.5731e-05, 5.7723e-04)
Max no. 32 | (6.2570e-05, 9.6993e-04)
Max no. 33 | (6.2346e-05, 4.1186e-04)
Max no. 34 | (6.1765e-05, 1.2676e-03)
Max no. 35 | (6.1159e-05, 5.3062e-04)
Max no. 36 | (6.1092e-05, 2.2065e-04)
Max no. 37 | (5.9119e-05, 1.0027e-04)
Max no. 38 | (5.8698e-05, 5.5616e-04)
Max no. 39 | (5.8333e-05, 3.3214e-04)
Max no. 40 | (5.7641e-05, 5.4298e-04)
Max no. 41 | (5.6691e-05, 1.1638e-04)
Max no. 42 | (5.6302e-05, 1.4365e-03)
Max no. 43 | (5.6031e-05, 1.0069e-03)
Max no. 44 | (5.5959e-05, 1.0150e-03)
Max no. 45 | (5.4791e-05, 3.2216e-04)
Max no. 46 | (5.3838e-05, 4.6625e-04)
Max no. 47 | (5.2219e-05, 4.5106e-04)
Max no. 48 | (5.0910e-05, 6.2880e-04)
Max no. 49 | (5.0567e-05, 5.2368e-04)
Max no. 50 | (5.0390e-05, 2.0822e-04)
Max no. 51 | (4.8696e-05, 5.8797e-04)
Max no. 52 | (4.6796e-05, 1.6841e-04)
Max no. 53 | (4.6180e-05, 9.0376e-05)
Max no. 54 | (4.5345e-05, 2.3313e-04)
Max no. 55 | (4.4801e-05, 6.0615e-04)
Max no. 56 | (4.4680e-05, 1.6943e-04)
Max no. 57 | (4.2492e-05, 7.3315e-04)
Max no. 58 | (4.2428e-05, 7.9249e-05)
Max no. 59 | (4.1617e-05, 8.3812e-05)
Max no. 60 | (4.1522e-05, 2.6361e-04)
Max no. 61 | (4.0600e-05, 4.1121e-04)
Max no. 62 | (4.0334e-05, 1.4784e-04)
Max no. 63 | (3.9190e-05, 3.5977e-04)
Max no. 64 | (3.7712e-05, 8.9649e-04)
Max no. 65 | (3.5151e-05, 8.2717e-05)
Max no. 66 | (3.5136e-05, 2.4032e-04)
Max no. 67 | (3.5006e-05, 3.2501e-04)
Max no. 68 | (3.4530e-05, 1.8881e-04)
Max no. 69 | (3.4373e-05, 5.4117e-04)
Max no. 70 | (3.3855e-05, 3.4650e-04)
Max no. 71 | (3.2147e-05, 1.2866e-04)
Max no. 72 | (3.1472e-05, 4.3045e-04)
Max no. 73 | (3.1124e-05, 3.5700e-04)
Max no. 74 | (3.0573e-05, 1.1743e-04)
Max no. 75 | (2.8340e-05, 8.1760e-04)
Max no. 76 | (2.7919e-05, 1.6984e-03)
Max no. 77 | (2.6219e-05, 2.0068e-03)
Max no. 78 | (2.6192e-05, 3.0352e-04)
Max no. 79 | (2.5503e-05, 6.2356e-04)
Max no. 80 | (2.4696e-05, 8.6561e-05)
Max no. 81 | (2.4596e-05, 9.8870e-05)
Max no. 82 | (2.4336e-05, 9.9086e-05)
Max no. 83 | (2.2724e-05, 2.3364e-04)
Max no. 84 | (2.1425e-05, 4.2541e-05)
Max no. 85 | (2.0546e-05, 1.6390e-03)
Max no. 86 | (2.0068e-05, 7.2124e-04)
Max no. 87 | (1.9274e-05, 2.4117e-04)
Max no. 88 | (1.9035e-05, 9.4715e-05)
Max no. 89 | (1.8307e-05, 1.2616e-04)
Max no. 90 | (1.7830e-05, 1.6731e-03)
Max no. 91 | (1.7434e-05, 1.3364e-03)
Max no. 92 | (1.6930e-05, 8.8248e-04)
Max no. 93 | (1.6504e-05, 3.9357e-04)
Max no. 94 | (1.6439e-05, 1.5806e-04)
Max no. 95 | (1.5230e-05, 1.1133e-04)
Max no. 96 | (1.4274e-05, 3.1959e-04)
Max no. 97 | (1.4068e-05, 1.5608e-04)
Max no. 98 | (1.1784e-05, 1.4602e-04)
Max no. 99 | (1.1489e-05, 5.9900e-04)
Max no. 100 | (1.1001e-05, 1.2988e-04)
Max no. 101 | (1.0817e-05, 4.4555e-05)
Max no. 102 | (9.5197e-06, 3.7201e-04)
Max no. 103 | (8.9031e-06, 7.1499e-05)
Max no. 104 | (7.5651e-06, 6.5877e-05)
Max no. 105 | (6.2376e-06, 5.8477e-04)
Max no. 106 | (5.3045e-06, 4.7971e-05)
Max no. 107 | (4.0689e-06, 2.0016e-03)
Max no. 108 | (3.8352e-06, 3.3837e-05)
Max no. 109 | (3.3086e-06, 1.0298e-03)
Max no. 110 | (2.3737e-06, 1.2780e-05)
Max no. 111 | (1.8763e-06, 1.5890e-05)
Max no. 112 | (1.8726e-06, 3.0211e-05)
Max no. 113 | (1.2273e-06, 7.7604e-06)
Max no. 114 | (1.1695e-06, 2.6570e-04)
Max no. 115 | (1.0419e-06, 2.5258e-05)
Max no. 116 | (7.9293e-07, 3.2631e-06)
Max no. 117 | (7.1579e-07, 2.1604e-06)
Max no. 118 | (6.5698e-07, 5.7135e-04)
Max no. 119 | (4.0928e-07, 1.1457e-05)
Max no. 120 | (3.2699e-07, 1.7543e-06)
Max no. 121 | (2.1005e-07, 6.4304e-05)
Max no. 122 | (-3.9057e-08, 5.7555e-08)
Max no. 123 | (-2.0582e-07, 5.3261e-06)
Max no. 124 | (-1.1694e-06, 3.0786e-06)
Max no. 125 | (-1.4138e-06, 2.0923e-05)
Max no. 126 | (-1.5437e-06, 1.6499e-05)
Max no. 127 | (-1.6286e-06, 2.7164e-05)
Max no. 128 | (-2.1294e-06, 3.8868e-05)
Max no. 129 | (-2.6522e-06, 6.6333e-06)
Max no. 130 | (-2.8351e-06, 1.3719e-04)
Max no. 131 | (-3.0221e-06, 1.7746e-03)
Max no. 132 | (-3.5851e-06, 9.7533e-06)
Max no. 133 | (-3.7486e-06, 2.2479e-05)
Max no. 134 | (-3.7642e-06, 9.5295e-06)
Max no. 135 | (-4.0151e-06, 6.8910e-04)
Max no. 136 | (-4.9621e-06, 5.0222e-05)
Max no. 137 | (-5.9365e-06, 3.8470e-05)
Max no. 138 | (-6.3987e-06, 7.3307e-05)
Max no. 139 | (-6.9614e-06, 1.1974e-04)
Max no. 140 | (-8.4811e-06, 4.4997e-06)
Max no. 141 | (-8.9616e-06, 1.3222e-05)
Max no. 142 | (-1.0620e-05, 9.0297e-04)
Max no. 143 | (-1.0677e-05, 1.1205e-04)
Max no. 144 | (-1.1401e-05, 3.6291e-04)
Max no. 145 | (-1.4594e-05, 5.8598e-05)
Max no. 146 | (-1.5415e-05, 3.4479e-04)
Max no. 147 | (-1.5646e-05, 1.1082e-04)
Max no. 148 | (-1.5984e-05, 2.5283e-05)
Max no. 149 | (-1.6801e-05, 1.0775e-04)
Max no. 150 | (-1.9907e-05, 1.0637e-04)
Max no. 151 | (-2.0130e-05, 1.3268e-04)
Max no. 152 | (-2.0371e-05, 2.6365e-04)
Max no. 153 | (-2.1296e-05, 2.4401e-04)
Max no. 154 | (-2.4921e-05, 1.4858e-04)
Max no. 155 | (-2.9814e-05, 8.9271e-05)
Max no. 156 | (-3.0743e-05, 1.2370e-04)
Max no. 157 | (-3.3822e-05, 1.8007e-04)
Max no. 158 | (-4.3342e-05, 2.4323e-04)
Max no. 159 | (-4.3401e-05, 1.3785e-04)
Max no. 160 | (-4.4631e-05, 5.0792e-05)
Max no. 161 | (-4.6669e-05, 4.1239e-04)
Max no. 162 | (-4.7482e-05, 9.7800e-04)
Max no. 163 | (-4.8440e-05, 4.2145e-05)
Max no. 164 | (-5.2333e-05, 2.8866e-05)
Max no. 165 | (-5.8403e-05, 5.5076e-04)
Max no. 166 | (-7.0250e-05, 4.0447e-04)
Max no. 167 | (-7.1066e-05, 1.5908e-04)
Max no. 168 | (-8.2524e-05, 3.6481e-04)
Max no. 169 | (-8.3822e-05, 2.6851e-05)
Max no. 170 | (-8.5929e-05, 1.5984e-04)
Max no. 171 | (-8.9832e-05, 7.7722e-04)
Max no. 172 | (-1.0254e-04, 1.2368e-04)
Max no. 173 | (-1.1491e-04, 2.3741e-05)
Max no. 174 | (-1.3469e-04, 9.7278e-04)
Max no. 175 | (-1.6632e-04, 1.8424e-03)
Max no. 176 | (-1.7260e-04, 4.4973e-04)
Max no. 177 | (-1.8616e-04, 5.3220e-04)
Max no. 178 | (-2.0047e-04, 2.6481e-05)
Max no. 179 | (-2.2652e-04, 2.7760e-04)
Max no. 180 | (-2.2898e-04, 3.2329e-04)
Max no. 181 | (-2.7755e-04, 4.0987e-04)
Max no. 182 | (-3.8183e-04, 1.1604e-03)
Max no. 183 | (-3.8444e-04, 1.1359e-03)
Max no. 184 | (-6.4878e-04, 2.0282e-03)
Max no. 185 | (-8.6017e-04, 1.0942e-03)
Max no. 186 | (-1.5830e-03, 1.4781e-03)
Max no. 187 | (-1.0812e-01, 1.0896e-01)
Max no. 188 | (-3.9456e-01, 3.9588e-01)
Max no. 189 | (-3.9887e-01, 4.0007e-01)
Max no. 190 | (-4.0173e-01, 4.0173e-01)
Max no. 191 | (-4.0231e-01, 4.0231e-01)
Max no. 192 | (-4.0264e-01, 4.0264e-01)
Max no. 193 | (-4.0283e-01, 4.0283e-01)
Max no. 194 | (-4.0454e-01, 4.0454e-01)
Max no. 195 | (-4.2332e-01, 4.2330e-01)
Max no. 196 | (-4.5312e-01, 4.5312e-01)
Max no. 197 | (-4.7704e-01, 4.7704e-01)
Max no. 198 | (-4.9859e-01, 4.9859e-01)
Max no. 199 | (-9.1010e-01, 9.1010e-01)
------------------------------------------------------------------------------------------------------------------------------------
