
------------------------------------------------------------------------------------------------------------------------------------
All maxima | (Original FOM, Second FOM)
Max no. 0 | (2.2488e-04, 2.2326e-03)
Max no. 1 | (1.9687e-04, 1.2852e-03)
Max no. 2 | (1.5062e-04, 6.4333e-04)
Max no. 3 | (1.4541e-04, 6.6668e-04)
Max no. 4 | (1.4470e-04, 4.5010e-04)
Max no. 5 | (1.4070e-04, 6.7322e-04)
Max no. 6 | (1.3999e-04, 8.0587e-04)
Max no. 7 | (1.3844e-04, 2.0738e-03)
Max no. 8 | (1.3431e-04, 6.9427e-04)
Max no. 9 | (1.3419e-04, 1.3226e-03)
Max no. 10 | (1.3287e-04, 2.0000e-03)
Max no. 11 | (1.3266e-04, 7.5109e-04)
Max no. 12 | (1.3262e-04, 9.7260e-04)
Max no. 13 | (1.3193e-04, 2.3159e-03)
Max no. 14 | (1.3001e-04, 9.0035e-04)
Max no. 15 | (1.2897e-04, 3.9442e-04)
Max no. 16 | (1.2895e-04, 1.0368e-03)
Max no. 17 | (1.2881e-04, 3.1517e-03)
Max no. 18 | (1.2645e-04, 7.2136e-04)
Max no. 19 | (1.2369e-04, 2.2200e-03)
Max no. 20 | (1.2291e-04, 7.7379e-04)
Max no. 21 | (1.2048e-04, 6.6988e-04)
Max no. 22 | (1.1880e-04, 2.9288e-03)
Max no. 23 | (1.1872e-04, 2.1611e-03)
Max no. 24 | (1.1866e-04, 6.6319e-04)
Max no. 25 | (1.1824e-04, 8.1921e-04)
Max no. 26 | (1.1812e-04, 7.2318e-04)
Max no. 27 | (1.1696e-04, 2.2354e-03)
Max no. 28 | (1.1402e-04, 4.0857e-04)
Max no. 29 | (1.1373e-04, 1.2890e-03)
Max no. 30 | (1.1225e-04, 3.8022e-03)
Max no. 31 | (1.1203e-04, 1.3098e-03)
Max no. 32 | (1.1122e-04, 9.2143e-04)
Max no. 33 | (1.1081e-04, 5.7641e-04)
Max no. 34 | (1.1047e-04, 7.4758e-04)
Max no. 35 | (1.1015e-04, 7.1075e-04)
Max no. 36 | (1.0958e-04, 7.8615e-04)
Max no. 37 | (1.0843e-04, 3.7077e-04)
Max no. 38 | (1.0786e-04, 4.0425e-03)
Max no. 39 | (1.0780e-04, 2.1272e-03)
Max no. 40 | (1.0514e-04, 1.2699e-03)
Max no. 41 | (1.0498e-04, 1.5963e-03)
Max no. 42 | (1.0386e-04, 1.9190e-03)
Max no. 43 | (1.0290e-04, 4.1946e-03)
Max no. 44 | (1.0272e-04, 5.6897e-04)
Max no. 45 | (1.0258e-04, 1.8597e-03)
Max no. 46 | (1.0236e-04, 2.8959e-03)
Max no. 47 | (1.0207e-04, 1.1102e-03)
Max no. 48 | (1.0125e-04, 8.8811e-04)
Max no. 49 | (1.0017e-04, 6.6644e-04)
Max no. 50 | (1.0014e-04, 1.4213e-03)
Max no. 51 | (9.9423e-05, 1.4723e-04)
Max no. 52 | (9.7837e-05, 6.0184e-04)
Max no. 53 | (9.6379e-05, 2.0626e-03)
Max no. 54 | (9.6066e-05, 3.4748e-03)
Max no. 55 | (9.6029e-05, 2.3033e-03)
Max no. 56 | (9.4864e-05, 6.7134e-04)
Max no. 57 | (9.4774e-05, 3.8692e-04)
Max no. 58 | (9.4070e-05, 1.5917e-03)
Max no. 59 | (9.3658e-05, 1.6591e-03)
Max no. 60 | (9.2783e-05, 2.4301e-03)
Max no. 61 | (9.2338e-05, 3.0990e-03)
Max no. 62 | (9.2283e-05, 2.5146e-03)
Max no. 63 | (9.1802e-05, 1.4099e-03)
Max no. 64 | (9.1730e-05, 5.7084e-04)
Max no. 65 | (9.1443e-05, 4.1251e-04)
Max no. 66 | (9.1429e-05, 5.6245e-04)
Max no. 67 | (9.0859e-05, 5.1226e-04)
Max no. 68 | (8.9481e-05, 6.1521e-04)
Max no. 69 | (8.5587e-05, 2.4432e-04)
Max no. 70 | (8.5348e-05, 1.3482e-03)
Max no. 71 | (8.3608e-05, 1.1801e-03)
Max no. 72 | (8.3371e-05, 3.9605e-04)
Max no. 73 | (8.3305e-05, 2.6857e-03)
Max no. 74 | (8.3289e-05, 2.3632e-04)
Max no. 75 | (8.2949e-05, 5.3306e-04)
Max no. 76 | (8.2398e-05, 3.4313e-04)
Max no. 77 | (7.9610e-05, 1.3564e-03)
Max no. 78 | (7.9415e-05, 2.9510e-04)
Max no. 79 | (7.9410e-05, 1.6058e-04)
Max no. 80 | (7.9263e-05, 4.7170e-04)
Max no. 81 | (7.8187e-05, 5.2002e-04)
Max no. 82 | (7.7965e-05, 6.2182e-04)
Max no. 83 | (7.7449e-05, 2.2125e-03)
Max no. 84 | (7.7053e-05, 4.5399e-04)
Max no. 85 | (7.5840e-05, 1.1824e-03)
Max no. 86 | (7.5759e-05, 4.1352e-04)
Max no. 87 | (7.3694e-05, 8.7035e-04)
Max no. 88 | (7.3353e-05, 4.4780e-04)
Max no. 89 | (6.7768e-05, 4.7490e-04)
Max no. 90 | (6.7574e-05, 2.6287e-03)
Max no. 91 | (6.6881e-05, 2.2279e-03)
Max no. 92 | (6.6350e-05, 4.8825e-04)
Max no. 93 | (6.5314e-05, 3.9056e-04)
Max no. 94 | (6.5083e-05, 8.3091e-05)
Max no. 95 | (6.5072e-05, 3.2022e-03)
Max no. 96 | (6.5043e-05, 3.1014e-03)
Max no. 97 | (6.4025e-05, 1.5571e-03)
Max no. 98 | (6.3729e-05, 4.1526e-03)
Max no. 99 | (6.3216e-05, 6.3852e-04)
Max no. 100 | (6.3213e-05, 3.6349e-04)
Max no. 101 | (6.2297e-05, 1.0928e-03)
Max no. 102 | (6.1983e-05, 3.9809e-03)
Max no. 103 | (6.1677e-05, 2.9706e-03)
Max no. 104 | (6.1207e-05, 1.4046e-03)
Max no. 105 | (6.0655e-05, 1.9422e-03)
Max no. 106 | (5.9870e-05, 7.7389e-04)
Max no. 107 | (5.8886e-05, 2.4737e-03)
Max no. 108 | (5.8765e-05, 3.2756e-04)
Max no. 109 | (5.8563e-05, 3.3855e-04)
Max no. 110 | (5.8250e-05, 4.2689e-03)
Max no. 111 | (5.6207e-05, 9.2796e-04)
Max no. 112 | (5.3546e-05, 2.5290e-04)
Max no. 113 | (5.3019e-05, 6.7092e-04)
Max no. 114 | (5.2786e-05, 7.4128e-04)
Max no. 115 | (5.0671e-05, 4.0717e-04)
Max no. 116 | (5.0224e-05, 4.7103e-04)
Max no. 117 | (5.0051e-05, 9.5252e-04)
